date,content,replyCount,retweetCount,likeCount,media,cleaned,sentiment_number,sentiment_label
2018-09-24 16:13:44+00:00,art gives people the freedom to think - President Z Scott of Chicago State,116,1386,9765,,art gives people freedom think president scott chicago state,0.0,Neutral
2018-09-24 00:43:41+00:00,same field https://t.co/2lwQF6jhOY,263,4284,45027,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dn0exkhXkAM_RiV?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dn0exkhXkAM_RiV?format=jpg&name=large'}]",field,0.0,Neutral
2018-09-23 19:13:33+00:00,happy Sunday https://t.co/0TKouJckov,487,12104,116526,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/DnzTOHlXoAY4-4C?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/DnzTOHlXoAY4-4C?format=jpg&name=large'}]",happy sunday,0.8,Positive
2018-09-23 03:02:05+00:00,our minds and spirits are endless https://t.co/f8pGZPxoqa,217,3276,22209,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dnv03uCUYAALDFF?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dnv03uCUYAALDFF?format=jpg&name=large'}]",minds spirits endless,-0.125,Negative
2018-09-23 02:34:17+00:00,we’re upgrading our operating systems,266,1901,17199,,upgrading operating systems,0.0,Neutral
2018-09-23 01:46:24+00:00,"when you at the sugar factory make sure you get that mirror shot 

This is not a paid tweet 😂 https://t.co/t66gbDEkSN",303,6358,74303,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dnvji1mV4AExB5l?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dnvji1mV4AExB5l?format=jpg&name=large'}]",sugar factory make sure get mirror shot paid tweet,0.5,Positive
2018-09-23 01:37:19+00:00,convo with Ben Schwerin from Snapchat https://t.co/FElSmLI43e,170,1211,14354,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dnvhdp8U8AA7l1m?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dnvhdp8U8AA7l1m?format=jpg&name=large'}]",convo ben schwerin snapchat,0.0,Neutral
2018-09-22 22:20:29+00:00,"I’d rather someone give me INSIGHT than to EXCITE me 

People always try to get you EXCITED so they can manipulate you. They will have the INSIGHT and not share it with you 

EXPOSURE is key",537,9259,42701,,rather someone give insight excite people always try get excited manipulate insight share exposure key,0.1875,Positive
2018-09-22 21:13:44+00:00,a lot of human beings think this is what love means https://t.co/9JgLBvEiSt,624,7221,32042,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/DnulIuKVsAYtYAE?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/DnulIuKVsAYtYAE?format=jpg&name=large'}]",lot human beings think love means,0.25,Positive
2018-09-22 17:42:15+00:00,YANDHI 9 29 18 https://t.co/iYWFUJ07oo,173,4914,26800,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dnt0uxFUcAIWnnd?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dnt0uxFUcAIWnnd?format=jpg&name=large'}]",yandhi,0.0,Neutral
